quote,name,date,quote_id,lower_quote,lower_tokenized_quote,year,quote_length,tool_frequency,scaled_tool_frequency
Application of computational methods in humanities scholarship and media production,Karl Grossner,2014-01-01,637,application of computational methods in humanities scholarship and media production,"['application', 'of', 'computational', 'methods', 'in', 'humanities', 'scholarship', 'and', 'media', 'production']",2014,10,0,0.0
The application of computational power to the solution of humanities questions.,Padraic Stack,2014-01-01,638,the application of computational power to the solution of humanities questions.,"['the', 'application', 'of', 'computational', 'power', 'to', 'the', 'solution', 'of', 'humanities', 'questions', '.']",2014,12,0,0.0
DH is the transfer of texts from traditional tactile to digital media.,P. Urduja,2014-01-01,639,dh is the transfer of texts from traditional tactile to digital media.,"['dh', 'is', 'the', 'transfer', 'of', 'texts', 'from', 'traditional', 'tactile', 'to', 'digital', 'media', '.']",2014,13,0,0.0
"The humanities are the humanities. Technology is merely a tool (albeit a powerful one), not a defining factor of a discipline. You use it or you don't. The Digital Humanities do not exist.",Ethan Gruber,2014-01-01,640,"the humanities are the humanities. technology is merely a tool (albeit a powerful one), not a defining factor of a discipline. you use it or you don't. the digital humanities do not exist.","['the', 'humanities', 'are', 'the', 'humanities', '.', 'technology', 'is', 'merely', 'a', 'tool', '(', 'albeit', 'a', 'powerful', 'one', ')', ',', 'not', 'a', 'defining', 'factor', 'of', 'a', 'discipline', '.', 'you', 'use', 'it', 'or', 'you', 'do', ""n't"", '.', 'the', 'digital', 'humanities', 'do', 'not', 'exist', '.']",2014,41,1,0.024390243902439025
I define DH as a way of exploring a text on multiple levels in order to allow for an enhanced understanding.,Aila Skitcko,2014-01-01,641,i define dh as a way of exploring a text on multiple levels in order to allow for an enhanced understanding.,"['i', 'define', 'dh', 'as', 'a', 'way', 'of', 'exploring', 'a', 'text', 'on', 'multiple', 'levels', 'in', 'order', 'to', 'allow', 'for', 'an', 'enhanced', 'understanding', '.']",2014,22,0,0.0
It's like English... but technological and digital.,Britney,2014-01-01,642,it's like english... but technological and digital.,"['it', ""'s"", 'like', 'english', '...', 'but', 'technological', 'and', 'digital', '.']",2014,10,0,0.0
"It's what I do much of the time? It's both a familiarity with digital methods and the ability to easily use digital tools for scholarship, and to do it responsibly. It's also a critical application of these tools and methods.",Elli Mylonas,2014-01-01,643,"it's what i do much of the time? it's both a familiarity with digital methods and the ability to easily use digital tools for scholarship, and to do it responsibly. it's also a critical application of these tools and methods.","['it', ""'s"", 'what', 'i', 'do', 'much', 'of', 'the', 'time', '?', 'it', ""'s"", 'both', 'a', 'familiarity', 'with', 'digital', 'methods', 'and', 'the', 'ability', 'to', 'easily', 'use', 'digital', 'tools', 'for', 'scholarship', ',', 'and', 'to', 'do', 'it', 'responsibly', '.', 'it', ""'s"", 'also', 'a', 'critical', 'application', 'of', 'these', 'tools', 'and', 'methods', '.']",2014,47,2,0.0425531914893617
DH is a sort of revolutionary activities with integration of various methods and fields for exploring potential of the humanities through digital technologies.,Kiyonori Nagasaki,2014-01-01,644,dh is a sort of revolutionary activities with integration of various methods and fields for exploring potential of the humanities through digital technologies.,"['dh', 'is', 'a', 'sort', 'of', 'revolutionary', 'activities', 'with', 'integration', 'of', 'various', 'methods', 'and', 'fields', 'for', 'exploring', 'potential', 'of', 'the', 'humanities', 'through', 'digital', 'technologies', '.']",2014,24,0,0.0
"A set of principles, values and practices within the study of cultural artifacts meets the computer and the electronic medium.",Antonio Rojas Castro,2014-01-01,645,"a set of principles, values and practices within the study of cultural artifacts meets the computer and the electronic medium.","['a', 'set', 'of', 'principles', ',', 'values', 'and', 'practices', 'within', 'the', 'study', 'of', 'cultural', 'artifacts', 'meets', 'the', 'computer', 'and', 'the', 'electronic', 'medium', '.']",2014,22,0,0.0
The application and use of digital technology in one's everyday life.,Rockford,2014-01-01,646,the application and use of digital technology in one's everyday life.,"['the', 'application', 'and', 'use', 'of', 'digital', 'technology', 'in', 'one', ""'s"", 'everyday', 'life', '.']",2014,13,0,0.0
"On a computer...where the traditional humanities become virtual and enter a realm of encoded information, ultimately making information more accessible.",James,2014-01-01,647,"on a computer...where the traditional humanities become virtual and enter a realm of encoded information, ultimately making information more accessible.","['on', 'a', 'computer', '...', 'where', 'the', 'traditional', 'humanities', 'become', 'virtual', 'and', 'enter', 'a', 'realm', 'of', 'encoded', 'information', ',', 'ultimately', 'making', 'information', 'more', 'accessible', '.']",2014,24,0,0.0
I think that DH can be defined as the act of learning through making. Digital humanities uses research and technology to create a new realm of knowledge which can allow for a different understanding of the humanities which would otherwise be inaccessible.,Kathryn,2014-01-01,648,i think that dh can be defined as the act of learning through making. digital humanities uses research and technology to create a new realm of knowledge which can allow for a different understanding of the humanities which would otherwise be inaccessible.,"['i', 'think', 'that', 'dh', 'can', 'be', 'defined', 'as', 'the', 'act', 'of', 'learning', 'through', 'making', '.', 'digital', 'humanities', 'uses', 'research', 'and', 'technology', 'to', 'create', 'a', 'new', 'realm', 'of', 'knowledge', 'which', 'can', 'allow', 'for', 'a', 'different', 'understanding', 'of', 'the', 'humanities', 'which', 'would', 'otherwise', 'be', 'inaccessible', '.']",2014,44,0,0.0
"The Digital Humanities intersect humanities disciplines with computing technologies. To me, DH is collaborative and interdisciplinary. DH is creative, thoughtful, and explorative. It has welcomed (and helped to grow) my interest and expertise in information design and visualization.",Milena Radzikowska,2014-01-01,649,"the digital humanities intersect humanities disciplines with computing technologies. to me, dh is collaborative and interdisciplinary. dh is creative, thoughtful, and explorative. it has welcomed (and helped to grow) my interest and expertise in information design and visualization.","['the', 'digital', 'humanities', 'intersect', 'humanities', 'disciplines', 'with', 'computing', 'technologies', '.', 'to', 'me', ',', 'dh', 'is', 'collaborative', 'and', 'interdisciplinary', '.', 'dh', 'is', 'creative', ',', 'thoughtful', ',', 'and', 'explorative', '.', 'it', 'has', 'welcomed', '(', 'and', 'helped', 'to', 'grow', ')', 'my', 'interest', 'and', 'expertise', 'in', 'information', 'design', 'and', 'visualization', '.']",2014,47,0,0.0
Peering further into the shadows,Shawn Day,2014-01-01,650,peering further into the shadows,"['peering', 'further', 'into', 'the', 'shadows']",2014,5,0,0.0
"It's using technology for humanities research, teaching, and publication.",Jana Remy,2014-01-01,651,"it's using technology for humanities research, teaching, and publication.","['it', ""'s"", 'using', 'technology', 'for', 'humanities', 'research', ',', 'teaching', ',', 'and', 'publication', '.']",2014,13,0,0.0
"That's a tough one. I think Matthew Gold et al defined it very well as did the ubiquitous Hayles. Digital Humanities, for me, brings the humanities to the forefront. Just speaking for my own discipline, English, we bring an ability to read closely and analyze language and its uses. We read texts of all kinds as performing cultural work and, in turn, we suggest or even produce new ways of thinking about those texts. Digital humanities allows us to use a vast set of critical tools to analyze and create ways of being in the digital realm.",Sara Humphreys,2014-01-01,652,"that's a tough one. i think matthew gold et al defined it very well as did the ubiquitous hayles. digital humanities, for me, brings the humanities to the forefront. just speaking for my own discipline, english, we bring an ability to read closely and analyze language and its uses. we read texts of all kinds as performing cultural work and, in turn, we suggest or even produce new ways of thinking about those texts. digital humanities allows us to use a vast set of critical tools to analyze and create ways of being in the digital realm.","['that', ""'s"", 'a', 'tough', 'one', '.', 'i', 'think', 'matthew', 'gold', 'et', 'al', 'defined', 'it', 'very', 'well', 'as', 'did', 'the', 'ubiquitous', 'hayles', '.', 'digital', 'humanities', ',', 'for', 'me', ',', 'brings', 'the', 'humanities', 'to', 'the', 'forefront', '.', 'just', 'speaking', 'for', 'my', 'own', 'discipline', ',', 'english', ',', 'we', 'bring', 'an', 'ability', 'to', 'read', 'closely', 'and', 'analyze', 'language', 'and', 'its', 'uses', '.', 'we', 'read', 'texts', 'of', 'all', 'kinds', 'as', 'performing', 'cultural', 'work', 'and', ',', 'in', 'turn', ',', 'we', 'suggest', 'or', 'even', 'produce', 'new', 'ways', 'of', 'thinking', 'about', 'those', 'texts', '.', 'digital', 'humanities', 'allows', 'us', 'to', 'use', 'a', 'vast', 'set', 'of', 'critical', 'tools', 'to', 'analyze', 'and', 'create', 'ways', 'of', 'being', 'in', 'the', 'digital', 'realm', '.']",2014,110,1,0.00909090909090909
"Digital humanities is the use of computational tools or approaches to find patterns in humanistic production, when those patterns are then used for interpretive purpose.",Brian Croxall,2014-01-01,653,"digital humanities is the use of computational tools or approaches to find patterns in humanistic production, when those patterns are then used for interpretive purpose.","['digital', 'humanities', 'is', 'the', 'use', 'of', 'computational', 'tools', 'or', 'approaches', 'to', 'find', 'patterns', 'in', 'humanistic', 'production', ',', 'when', 'those', 'patterns', 'are', 'then', 'used', 'for', 'interpretive', 'purpose', '.']",2014,27,1,0.037037037037037035
"DH, for me at least, is more about the Humanities than about the Digital. While the pervading digital (and online) structure has some part in change, it's from culture - and shock of differing cultures - that such changes are truly born. So, DH is pretty much a way to explore the role played by the digital within a much larger context, as well as an exploration on how to use the same digital to further understand the intricacies of culture.",Luciano de Sampaio Soares,2014-01-01,654,"dh, for me at least, is more about the humanities than about the digital. while the pervading digital (and online) structure has some part in change, it's from culture - and shock of differing cultures - that such changes are truly born. so, dh is pretty much a way to explore the role played by the digital within a much larger context, as well as an exploration on how to use the same digital to further understand the intricacies of culture.","['dh', ',', 'for', 'me', 'at', 'least', ',', 'is', 'more', 'about', 'the', 'humanities', 'than', 'about', 'the', 'digital', '.', 'while', 'the', 'pervading', 'digital', '(', 'and', 'online', ')', 'structure', 'has', 'some', 'part', 'in', 'change', ',', 'it', ""'s"", 'from', 'culture', '-', 'and', 'shock', 'of', 'differing', 'cultures', '-', 'that', 'such', 'changes', 'are', 'truly', 'born', '.', 'so', ',', 'dh', 'is', 'pretty', 'much', 'a', 'way', 'to', 'explore', 'the', 'role', 'played', 'by', 'the', 'digital', 'within', 'a', 'much', 'larger', 'context', ',', 'as', 'well', 'as', 'an', 'exploration', 'on', 'how', 'to', 'use', 'the', 'same', 'digital', 'to', 'further', 'understand', 'the', 'intricacies', 'of', 'culture', '.']",2014,92,0,0.0
DH is the growing set of practices and projects geared around humanities inquiry that strategically involve digital resources.,Harlan Kellaway,2014-01-01,655,dh is the growing set of practices and projects geared around humanities inquiry that strategically involve digital resources.,"['dh', 'is', 'the', 'growing', 'set', 'of', 'practices', 'and', 'projects', 'geared', 'around', 'humanities', 'inquiry', 'that', 'strategically', 'involve', 'digital', 'resources', '.']",2014,19,0,0.0
I try not to.,Jason Heppler,2014-01-01,656,i try not to.,"['i', 'try', 'not', 'to', '.']",2014,5,0,0.0
"Digital tools and methodologies thoughtfully applied to humanistic research questions, or the critique thereof.",Quinn Dombrowski,2014-01-01,657,"digital tools and methodologies thoughtfully applied to humanistic research questions, or the critique thereof.","['digital', 'tools', 'and', 'methodologies', 'thoughtfully', 'applied', 'to', 'humanistic', 'research', 'questions', ',', 'or', 'the', 'critique', 'thereof', '.']",2014,16,1,0.0625
Where humanities research is heading - using all of the digital tools and computational methodologies at our disposal to support traditional humanities research as well as developing new ways of considering humanities questions.,Shannon Lucky,2014-01-01,658,where humanities research is heading - using all of the digital tools and computational methodologies at our disposal to support traditional humanities research as well as developing new ways of considering humanities questions.,"['where', 'humanities', 'research', 'is', 'heading', '-', 'using', 'all', 'of', 'the', 'digital', 'tools', 'and', 'computational', 'methodologies', 'at', 'our', 'disposal', 'to', 'support', 'traditional', 'humanities', 'research', 'as', 'well', 'as', 'developing', 'new', 'ways', 'of', 'considering', 'humanities', 'questions', '.']",2014,34,1,0.029411764705882353
"A study of the humanities inspired and informed by, though not confined to, computing and machines.",Adam Heidebrink,2014-01-01,659,"a study of the humanities inspired and informed by, though not confined to, computing and machines.","['a', 'study', 'of', 'the', 'humanities', 'inspired', 'and', 'informed', 'by', ',', 'though', 'not', 'confined', 'to', ',', 'computing', 'and', 'machines', '.']",2014,19,0,0.0
A history of engagement with computing by humanists.,Geoffrey Rockwell,2014-01-01,660,a history of engagement with computing by humanists.,"['a', 'history', 'of', 'engagement', 'with', 'computing', 'by', 'humanists', '.']",2014,9,0,0.0
"Short definition: Taking the Humanities, smashing it into computers, and seeing what happens.
Long definition: Starting with 'texts', defined as broadly as the Humanities can sustain, seeing them as 'data' (as broadly as Computer Science can sustain), and using that view of the text/data to formulate and respond to new questions or issues in the Humanities.",Patrick Murray-John,2014-01-01,661,"short definition: taking the humanities, smashing it into computers, and seeing what happens.
long definition: starting with 'texts', defined as broadly as the humanities can sustain, seeing them as 'data' (as broadly as computer science can sustain), and using that view of the text/data to formulate and respond to new questions or issues in the humanities.","['short', 'definition', ':', 'taking', 'the', 'humanities', ',', 'smashing', 'it', 'into', 'computers', ',', 'and', 'seeing', 'what', 'happens', '.', 'long', 'definition', ':', 'starting', 'with', ""'texts"", ""'"", ',', 'defined', 'as', 'broadly', 'as', 'the', 'humanities', 'can', 'sustain', ',', 'seeing', 'them', 'as', ""'data"", ""'"", '(', 'as', 'broadly', 'as', 'computer', 'science', 'can', 'sustain', ')', ',', 'and', 'using', 'that', 'view', 'of', 'the', 'text/data', 'to', 'formulate', 'and', 'respond', 'to', 'new', 'questions', 'or', 'issues', 'in', 'the', 'humanities', '.']",2014,69,0,0.0
"Asking humanist questions with technology-assisted methods, followed by humanist critical thought",Robin Camille Davis,2014-01-01,662,"asking humanist questions with technology-assisted methods, followed by humanist critical thought","['asking', 'humanist', 'questions', 'with', 'technology-assisted', 'methods', ',', 'followed', 'by', 'humanist', 'critical', 'thought']",2014,12,0,0.0
Broadly.,Jason Rhody,2014-01-01,663,broadly.,"['broadly', '.']",2014,2,0,0.0
"For me, digital humanities embodies many things. From pedagogy to project management to research to networking, digital platforms and technologies hold the potential to enhance individual scholarship as well as make knowledge more readily available for a wider audience, on a variety of levels.",Liz Timbs,2014-01-01,664,"for me, digital humanities embodies many things. from pedagogy to project management to research to networking, digital platforms and technologies hold the potential to enhance individual scholarship as well as make knowledge more readily available for a wider audience, on a variety of levels.","['for', 'me', ',', 'digital', 'humanities', 'embodies', 'many', 'things', '.', 'from', 'pedagogy', 'to', 'project', 'management', 'to', 'research', 'to', 'networking', ',', 'digital', 'platforms', 'and', 'technologies', 'hold', 'the', 'potential', 'to', 'enhance', 'individual', 'scholarship', 'as', 'well', 'as', 'make', 'knowledge', 'more', 'readily', 'available', 'for', 'a', 'wider', 'audience', ',', 'on', 'a', 'variety', 'of', 'levels', '.']",2014,49,0,0.0
"using digital tools to explore, analyze, and disseminate humanities scholarship",Sarah Werner,2014-01-01,665,"using digital tools to explore, analyze, and disseminate humanities scholarship","['using', 'digital', 'tools', 'to', 'explore', ',', 'analyze', ',', 'and', 'disseminate', 'humanities', 'scholarship']",2014,12,1,0.08333333333333333
using new methods to find out more about old things,Emma Clarke,2014-01-01,666,using new methods to find out more about old things,"['using', 'new', 'methods', 'to', 'find', 'out', 'more', 'about', 'old', 'things']",2014,10,0,0.0
"However you define it, we're doing it.",WBA Staff,2014-01-01,667,"however you define it, we're doing it.","['however', 'you', 'define', 'it', ',', 'we', ""'re"", 'doing', 'it', '.']",2014,10,0,0.0
"Digital humanities represents the intersection of humanist questions and concerns with new opportunities for interrogation and interpretation provided by digital applications and platforms. It's a very big umbrella that covers everything from mapping to data-mining, aggregators to online exhibitions. As a public historian, I am especially interested in the way in which the digital humanities allows for expanding the reach of our interpretation, to increase the number of stakeholders in our work through user-generated content, and to make our applications and platforms available to those who might not normally have access.",Kyle Roberts,2014-01-01,668,"digital humanities represents the intersection of humanist questions and concerns with new opportunities for interrogation and interpretation provided by digital applications and platforms. it's a very big umbrella that covers everything from mapping to data-mining, aggregators to online exhibitions. as a public historian, i am especially interested in the way in which the digital humanities allows for expanding the reach of our interpretation, to increase the number of stakeholders in our work through user-generated content, and to make our applications and platforms available to those who might not normally have access.","['digital', 'humanities', 'represents', 'the', 'intersection', 'of', 'humanist', 'questions', 'and', 'concerns', 'with', 'new', 'opportunities', 'for', 'interrogation', 'and', 'interpretation', 'provided', 'by', 'digital', 'applications', 'and', 'platforms', '.', 'it', ""'s"", 'a', 'very', 'big', 'umbrella', 'that', 'covers', 'everything', 'from', 'mapping', 'to', 'data-mining', ',', 'aggregators', 'to', 'online', 'exhibitions', '.', 'as', 'a', 'public', 'historian', ',', 'i', 'am', 'especially', 'interested', 'in', 'the', 'way', 'in', 'which', 'the', 'digital', 'humanities', 'allows', 'for', 'expanding', 'the', 'reach', 'of', 'our', 'interpretation', ',', 'to', 'increase', 'the', 'number', 'of', 'stakeholders', 'in', 'our', 'work', 'through', 'user-generated', 'content', ',', 'and', 'to', 'make', 'our', 'applications', 'and', 'platforms', 'available', 'to', 'those', 'who', 'might', 'not', 'normally', 'have', 'access', '.']",2014,99,0,0.0
"On one level, digital humanities is about applying computational methods to questions and problems that have traditionally interested scholars in the humanities. Computational analysis can make it possible to tease out patterns or relationships that are difficult, or impossible, for humans to detect. The purview of the digital humanities extends beyond methodology, however. It is also about raising new questions and exploring topics such as digital literacy and the cultural impact of new media. Whatever the approach, academic libraries have an important role to play in providing the infrastructure and support that digital humanities projects require in order to be sustainable.",Tim Thompson,2014-01-01,669,"on one level, digital humanities is about applying computational methods to questions and problems that have traditionally interested scholars in the humanities. computational analysis can make it possible to tease out patterns or relationships that are difficult, or impossible, for humans to detect. the purview of the digital humanities extends beyond methodology, however. it is also about raising new questions and exploring topics such as digital literacy and the cultural impact of new media. whatever the approach, academic libraries have an important role to play in providing the infrastructure and support that digital humanities projects require in order to be sustainable.","['on', 'one', 'level', ',', 'digital', 'humanities', 'is', 'about', 'applying', 'computational', 'methods', 'to', 'questions', 'and', 'problems', 'that', 'have', 'traditionally', 'interested', 'scholars', 'in', 'the', 'humanities', '.', 'computational', 'analysis', 'can', 'make', 'it', 'possible', 'to', 'tease', 'out', 'patterns', 'or', 'relationships', 'that', 'are', 'difficult', ',', 'or', 'impossible', ',', 'for', 'humans', 'to', 'detect', '.', 'the', 'purview', 'of', 'the', 'digital', 'humanities', 'extends', 'beyond', 'methodology', ',', 'however', '.', 'it', 'is', 'also', 'about', 'raising', 'new', 'questions', 'and', 'exploring', 'topics', 'such', 'as', 'digital', 'literacy', 'and', 'the', 'cultural', 'impact', 'of', 'new', 'media', '.', 'whatever', 'the', 'approach', ',', 'academic', 'libraries', 'have', 'an', 'important', 'role', 'to', 'play', 'in', 'providing', 'the', 'infrastructure', 'and', 'support', 'that', 'digital', 'humanities', 'projects', 'require', 'in', 'order', 'to', 'be', 'sustainable', '.']",2014,111,0,0.0
It's digitally mediated humanistic inquiry.,Bill Caraher,2014-01-01,670,it's digitally mediated humanistic inquiry.,"['it', ""'s"", 'digitally', 'mediated', 'humanistic', 'inquiry', '.']",2014,7,0,0.0
Active and critical engagement with computing in the pursuit of humanistic research questions.,Thomas Padilla,2014-01-01,671,active and critical engagement with computing in the pursuit of humanistic research questions.,"['active', 'and', 'critical', 'engagement', 'with', 'computing', 'in', 'the', 'pursuit', 'of', 'humanistic', 'research', 'questions', '.']",2014,14,0,0.0
"An approach to research in the humanities harnessing technological capacity in order to extend out human capacities to read, to see and to comprehend.",Jennifer Edmond,2014-01-01,672,"an approach to research in the humanities harnessing technological capacity in order to extend out human capacities to read, to see and to comprehend.","['an', 'approach', 'to', 'research', 'in', 'the', 'humanities', 'harnessing', 'technological', 'capacity', 'in', 'order', 'to', 'extend', 'out', 'human', 'capacities', 'to', 'read', ',', 'to', 'see', 'and', 'to', 'comprehend', '.']",2014,26,0,0.0
"The Digital Humanities are an umbrella discipline for humanities scholars and educators who adopt digital technology as the environment for the curation, organization, production and dissemination of their scholarship and as a platform for their teaching, with the objective to enable sharper focus on the qualitative evaluation of information that is at the core of humanistic inquiry.",Silvia Stoyanova,2014-01-01,673,"the digital humanities are an umbrella discipline for humanities scholars and educators who adopt digital technology as the environment for the curation, organization, production and dissemination of their scholarship and as a platform for their teaching, with the objective to enable sharper focus on the qualitative evaluation of information that is at the core of humanistic inquiry.","['the', 'digital', 'humanities', 'are', 'an', 'umbrella', 'discipline', 'for', 'humanities', 'scholars', 'and', 'educators', 'who', 'adopt', 'digital', 'technology', 'as', 'the', 'environment', 'for', 'the', 'curation', ',', 'organization', ',', 'production', 'and', 'dissemination', 'of', 'their', 'scholarship', 'and', 'as', 'a', 'platform', 'for', 'their', 'teaching', ',', 'with', 'the', 'objective', 'to', 'enable', 'sharper', 'focus', 'on', 'the', 'qualitative', 'evaluation', 'of', 'information', 'that', 'is', 'at', 'the', 'core', 'of', 'humanistic', 'inquiry', '.']",2014,61,0,0.0
"Incorporating things like text mining, data visualisation, community building and curating online exhibitions and collections, Digital Humanities is the emerging field concerned with how studies of History, Literature, Music, Philosophy, Sociology, Performing Arts and other traditional humanities disciplines are utilising new digital tools.",David Nelligan,2014-01-01,674,"incorporating things like text mining, data visualisation, community building and curating online exhibitions and collections, digital humanities is the emerging field concerned with how studies of history, literature, music, philosophy, sociology, performing arts and other traditional humanities disciplines are utilising new digital tools.","['incorporating', 'things', 'like', 'text', 'mining', ',', 'data', 'visualisation', ',', 'community', 'building', 'and', 'curating', 'online', 'exhibitions', 'and', 'collections', ',', 'digital', 'humanities', 'is', 'the', 'emerging', 'field', 'concerned', 'with', 'how', 'studies', 'of', 'history', ',', 'literature', ',', 'music', ',', 'philosophy', ',', 'sociology', ',', 'performing', 'arts', 'and', 'other', 'traditional', 'humanities', 'disciplines', 'are', 'utilising', 'new', 'digital', 'tools', '.']",2014,52,1,0.019230769230769232
"DH, standing for Digital Humanities is a kind of all encompassing term that couples digital tools and processing with the work of the humanities. To me personally DH represents the application of tools and programs to better understand, organize and represent texts.",Cole Anderson,2014-01-01,675,"dh, standing for digital humanities is a kind of all encompassing term that couples digital tools and processing with the work of the humanities. to me personally dh represents the application of tools and programs to better understand, organize and represent texts.","['dh', ',', 'standing', 'for', 'digital', 'humanities', 'is', 'a', 'kind', 'of', 'all', 'encompassing', 'term', 'that', 'couples', 'digital', 'tools', 'and', 'processing', 'with', 'the', 'work', 'of', 'the', 'humanities', '.', 'to', 'me', 'personally', 'dh', 'represents', 'the', 'application', 'of', 'tools', 'and', 'programs', 'to', 'better', 'understand', ',', 'organize', 'and', 'represent', 'texts', '.']",2014,46,2,0.043478260869565216
DH is an evolving form of creation that focuses on the point of intersection between traditional humanities topics and looks at them through the lens of the digital.,Romeena,2014-01-01,676,dh is an evolving form of creation that focuses on the point of intersection between traditional humanities topics and looks at them through the lens of the digital.,"['dh', 'is', 'an', 'evolving', 'form', 'of', 'creation', 'that', 'focuses', 'on', 'the', 'point', 'of', 'intersection', 'between', 'traditional', 'humanities', 'topics', 'and', 'looks', 'at', 'them', 'through', 'the', 'lens', 'of', 'the', 'digital', '.']",2014,29,0,0.0
New tools to access humanities sources. New ways to analyse and interpret humanities sources. New ways to thinks about the humanities.,Brian Hughes,2014-01-01,677,new tools to access humanities sources. new ways to analyse and interpret humanities sources. new ways to thinks about the humanities.,"['new', 'tools', 'to', 'access', 'humanities', 'sources', '.', 'new', 'ways', 'to', 'analyse', 'and', 'interpret', 'humanities', 'sources', '.', 'new', 'ways', 'to', 'thinks', 'about', 'the', 'humanities', '.']",2014,24,1,0.041666666666666664
"For me, Digital Humanities is very similar to an English class just with a computer component to it.",Kayla,2014-01-01,678,"for me, digital humanities is very similar to an english class just with a computer component to it.","['for', 'me', ',', 'digital', 'humanities', 'is', 'very', 'similar', 'to', 'an', 'english', 'class', 'just', 'with', 'a', 'computer', 'component', 'to', 'it', '.']",2014,20,0,0.0
"Digital humanities is the art of human record in digital form and it is the study of that record using digital tools for new insights. observing all digital media, data, and computational analysis as text.",Jessica Bonney,2014-01-01,679,"digital humanities is the art of human record in digital form and it is the study of that record using digital tools for new insights. observing all digital media, data, and computational analysis as text.","['digital', 'humanities', 'is', 'the', 'art', 'of', 'human', 'record', 'in', 'digital', 'form', 'and', 'it', 'is', 'the', 'study', 'of', 'that', 'record', 'using', 'digital', 'tools', 'for', 'new', 'insights', '.', 'observing', 'all', 'digital', 'media', ',', 'data', ',', 'and', 'computational', 'analysis', 'as', 'text', '.']",2014,39,1,0.02564102564102564
"Digital humanities involve situated and embodied engagement in humanities research and teaching through the development or application of digital technologies, in conjunction with the critical analysis using humanities frameworks and epistemologies of the implications of such activities. These inquiries bleed into considerations of mediation more generally, and of the transformative impacts of the digital turn, particularly of new modes of representation, publication, collaboration, dissemination, networking, and expression, on culture and society.",Susan Brown,2014-01-01,680,"digital humanities involve situated and embodied engagement in humanities research and teaching through the development or application of digital technologies, in conjunction with the critical analysis using humanities frameworks and epistemologies of the implications of such activities. these inquiries bleed into considerations of mediation more generally, and of the transformative impacts of the digital turn, particularly of new modes of representation, publication, collaboration, dissemination, networking, and expression, on culture and society.","['digital', 'humanities', 'involve', 'situated', 'and', 'embodied', 'engagement', 'in', 'humanities', 'research', 'and', 'teaching', 'through', 'the', 'development', 'or', 'application', 'of', 'digital', 'technologies', ',', 'in', 'conjunction', 'with', 'the', 'critical', 'analysis', 'using', 'humanities', 'frameworks', 'and', 'epistemologies', 'of', 'the', 'implications', 'of', 'such', 'activities', '.', 'these', 'inquiries', 'bleed', 'into', 'considerations', 'of', 'mediation', 'more', 'generally', ',', 'and', 'of', 'the', 'transformative', 'impacts', 'of', 'the', 'digital', 'turn', ',', 'particularly', 'of', 'new', 'modes', 'of', 'representation', ',', 'publication', ',', 'collaboration', ',', 'dissemination', ',', 'networking', ',', 'and', 'expression', ',', 'on', 'culture', 'and', 'society', '.']",2014,82,0,0.0
"Last year, I simply said 'DH is humanities inquiry using computational methods' but this year I should expand that definition, borrowing from Matt Gold: DH is at the intersection of traditional humanities and computing, and brings the two together through a methodological commitment to making as a way of knowing.",Constance Crompton,2014-01-01,681,"last year, i simply said 'dh is humanities inquiry using computational methods' but this year i should expand that definition, borrowing from matt gold: dh is at the intersection of traditional humanities and computing, and brings the two together through a methodological commitment to making as a way of knowing.","['last', 'year', ',', 'i', 'simply', 'said', ""'dh"", 'is', 'humanities', 'inquiry', 'using', 'computational', 'methods', ""'"", 'but', 'this', 'year', 'i', 'should', 'expand', 'that', 'definition', ',', 'borrowing', 'from', 'matt', 'gold', ':', 'dh', 'is', 'at', 'the', 'intersection', 'of', 'traditional', 'humanities', 'and', 'computing', ',', 'and', 'brings', 'the', 'two', 'together', 'through', 'a', 'methodological', 'commitment', 'to', 'making', 'as', 'a', 'way', 'of', 'knowing', '.']",2014,56,0,0.0
"DH includes 3 aspects: using digital materials, tools, and methods in the humanities; developing digital materials, tools, and methods for use in the humanities; and subjecting the digital to humanities study.",Stan Ruecker,2014-01-01,682,"dh includes 3 aspects: using digital materials, tools, and methods in the humanities; developing digital materials, tools, and methods for use in the humanities; and subjecting the digital to humanities study.","['dh', 'includes', '3', 'aspects', ':', 'using', 'digital', 'materials', ',', 'tools', ',', 'and', 'methods', 'in', 'the', 'humanities', ';', 'developing', 'digital', 'materials', ',', 'tools', ',', 'and', 'methods', 'for', 'use', 'in', 'the', 'humanities', ';', 'and', 'subjecting', 'the', 'digital', 'to', 'humanities', 'study', '.']",2014,39,2,0.05128205128205128
"I would define DH as the many different digital engagements, both academic and community-emergent, with humanities-related materials and theories, as well as the digital production of new humanities materials and theories.",Tiffany Sostar,2014-01-01,683,"i would define dh as the many different digital engagements, both academic and community-emergent, with humanities-related materials and theories, as well as the digital production of new humanities materials and theories.","['i', 'would', 'define', 'dh', 'as', 'the', 'many', 'different', 'digital', 'engagements', ',', 'both', 'academic', 'and', 'community-emergent', ',', 'with', 'humanities-related', 'materials', 'and', 'theories', ',', 'as', 'well', 'as', 'the', 'digital', 'production', 'of', 'new', 'humanities', 'materials', 'and', 'theories', '.']",2014,35,0,0.0
"Troubleshooting, troubleshooting, troubleshooting.",Hillary,2014-01-01,684,"troubleshooting, troubleshooting, troubleshooting.","['troubleshooting', ',', 'troubleshooting', ',', 'troubleshooting', '.']",2014,6,0,0.0
